"City","Year","Sport","Discipline","Event","Athlete","Gender","Country_Code","Country","Event_gender","Medal","latitude","longitude","n"
"Athens",2004,"Aquatics","Water polo","water polo","MUSUMECI, Maddalena","Women","ITA","Italy","W","Gold",41.87194,12.56738,144
"Athens",2004,"Aquatics","Water polo","water polo","MALATO, Giusy","Women","ITA","Italy","W","Gold",41.87194,12.56738,144
"Athens",2004,"Aquatics","Water polo","water polo","MOLNAR, Tamas","Men","HUN","Hungary","M","Gold",47.162494,19.503304,67
"Athens",2004,"Aquatics","Water polo","water polo","ALLUCCI, Carmela","Women","ITA","Italy","W","Gold",41.87194,12.56738,144
"Athens",2004,"Aquatics","Water polo","water polo","STEINMETZ, Barnabas","Men","HUN","Hungary","M","Gold",47.162494,19.503304,67
"Athens",2004,"Aquatics","Water polo","water polo","BENEDEK, Tibor","Men","HUN","Hungary","M","Gold",47.162494,19.503304,67
"Athens",2004,"Aquatics","Water polo","water polo","FODOR, Rajmund","Men","HUN","Hungary","M","Gold",47.162494,19.503304,67
"Athens",2004,"Aquatics","Water polo","water polo","SZECSI, Zoltan","Men","HUN","Hungary","M","Gold",47.162494,19.503304,67
"Athens",2004,"Aquatics","Water polo","water polo","VARGA, Tamas","Men","HUN","Hungary","M","Gold",47.162494,19.503304,67
"Athens",2004,"Aquatics","Water polo","water polo","ZANCHI, Manuela","Women","ITA","Italy","W","Gold",41.87194,12.56738,144
"Athens",2004,"Aquatics","Water polo","water polo","CONTI, Francesca","Women","ITA","Italy","W","Gold",41.87194,12.56738,144
"Athens",2004,"Aquatics","Water polo","water polo","GREGO, Melania","Women","ITA","Italy","W","Gold",41.87194,12.56738,144
"Athens",2004,"Aquatics","Water polo","water polo","GERGELY, Istvan","Men","HUN","Hungary","M","Gold",47.162494,19.503304,67
"Athens",2004,"Aquatics","Water polo","water polo","KISS, Gergely","Men","HUN","Hungary","M","Gold",47.162494,19.503304,67
"Athens",2004,"Aquatics","Water polo","water polo","BIROS, Peter","Men","HUN","Hungary","M","Gold",47.162494,19.503304,67
"Athens",2004,"Aquatics","Water polo","water polo","KASAS, Tamas","Men","HUN","Hungary","M","Gold",47.162494,19.503304,67
"Athens",2004,"Aquatics","Water polo","water polo","ARAUJO, Alexandra","Women","ITA","Italy","W","Gold",41.87194,12.56738,144
"Athens",2004,"Archery","Archery","team (FITA Olympic round - 70m)","PARK, Sung-Hyun","Women","KOR","Korea, South","W","Gold",NA,NA,130
"Athens",2004,"Archery","Archery","team (FITA Olympic round - 70m)","IM, Dong Hyun","Men","KOR","Korea, South","M","Gold",NA,NA,130
"Athens",2004,"Archery","Archery","individual (FITA Olympic round - 70m)","PARK, Sung-Hyun","Women","KOR","Korea, South","W","Gold",NA,NA,130
"Athens",2004,"Archery","Archery","individual (FITA Olympic round - 70m)","GALIAZZO, Marco","Men","ITA","Italy","M","Gold",41.87194,12.56738,144
"Athens",2004,"Archery","Archery","team (FITA Olympic round - 70m)","JANG, Yong-Ho","Men","KOR","Korea, South","M","Gold",NA,NA,130
"Athens",2004,"Archery","Archery","team (FITA Olympic round - 70m)","PARK, Kyung Mo","Men","KOR","Korea, South","M","Gold",NA,NA,130
"Athens",2004,"Archery","Archery","team (FITA Olympic round - 70m)","YUN, Mi-Jin","Women","KOR","Korea, South","W","Gold",NA,NA,130
"Athens",2004,"Archery","Archery","team (FITA Olympic round - 70m)","LEE, Sung Jin","Women","KOR","Korea, South","W","Gold",NA,NA,130
"Athens",2004,"Athletics","Athletics","hammer throw","KUZENKOVA, Olga","Women","RUS","Russia","W","Gold",61.52401,105.318756,335
"Athens",2004,"Athletics","Athletics","50km walk","KORZENIOWSKI, Robert","Men","POL","Poland","M","Gold",51.919438,19.145136,32
"Athens",2004,"Athletics","Athletics","4x400m relay","HENDERSON, Monique","Women","USA","United States","W","Gold",37.09024,-95.712891,579
"Athens",2004,"Athletics","Athletics","hammer throw","MUROFUSHI, Koji","Men","JPN","Japan","M","Gold",36.204824,138.252924,145
"Athens",2004,"Athletics","Athletics","4x100m relay","LAWRENCE, Tanya","Women","JAM","Jamaica","W","Gold",18.109581,-77.297508,30
"Athens",2004,"Athletics","Athletics","triple jump","OLSSON, Christian","Men","SWE","Sweden","M","Gold",60.128161,18.643501,19
"Athens",2004,"Athletics","Athletics","4x400m relay","BREW, Derrick","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Athletics","Athletics","100m hurdles","HAYES, Joanna","Women","USA","United States","W","Gold",37.09024,-95.712891,579
"Athens",2004,"Athletics","Athletics","3000m steeplechase","KEMBOI, Ezekiel","Men","KEN","Kenya","M","Gold",-0.023559,37.906193,21
"Athens",2004,"Athletics","Athletics","long jump","LEBEDEVA, Tatyana","Women","RUS","Russia","W","Gold",61.52401,105.318756,335
"Athens",2004,"Athletics","Athletics","pole vault","ISINBAEVA, Elena","Women","RUS","Russia","W","Gold",61.52401,105.318756,335
"Athens",2004,"Athletics","Athletics","4x100m relay","LEWIS-FRANCIS, Mark","Men","GBR","United Kingdom","M","Gold",55.378051,-3.435973,134
"Athens",2004,"Athletics","Athletics","400m","WARINER, Jeremy","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Athletics","Athletics","5000m","DEFAR, Meseret","Women","ETH","Ethiopia","W","Gold",9.145,40.489673,14
