"City","Year","Sport","Discipline","Event","Athlete","Gender","Country_Code","Country","Event_gender","Medal","latitude","longitude"
"Athens",2004,"Aquatics","Swimming","100m butterfly","CROCKER, Ian","Men","USA","United States","M","Silver",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","GROOT, Chantal","Women","NED","Netherlands","W","Bronze",52.132633,5.291266
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","KOMISARZ, Rachel","Women","USA","United States","W","Silver",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","SCHOEMAN, Roland","Men","RSA","South Africa","M","Gold",-30.559482,22.937506
"Athens",2004,"Aquatics","Swimming","200m backstroke","BUSCHSCHULTE, Antje","Women","GER","Germany","W","Bronze",51.165691,10.451526
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","BUSCHSCHULTE, Antje","Women","GER","Germany","W","Bronze",51.165691,10.451526
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","JONES, Leisel","Women","AUS","Australia","W","Gold",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","RYAN, Sarah","Women","AUS","Australia","W","Gold",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","100m backstroke","PEIRSOL, Aaron","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","400m individual medley","KLOCHKOVA, Yana","Women","UKR","Ukraine","W","Gold",48.379433,31.16558
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","PHELPS, Michael","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","GOETZ, Janina Kristin","Women","GER","Germany","W","Bronze",51.165691,10.451526
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","KRUPPA, Jens","Men","GER","Germany","M","Silver",51.165691,10.451526
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","GANGLOFF, Mark","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","JOYCE, Kara Lynn","Women","USA","United States","W","Silver",37.09024,-95.712891
